Serial,Time,Lat,Lon,Temp,Hm0,Hsig,Hmax,Tz,Tm02,Tm01,Tp,Dp,Dm,Dp_sp,Dm_sp,Qflag,Qcode,Percent,Dof
SPOT_30856C,21-Jan-2025 13:00:00, -23.47990, 152.07796, 27.69,  0.69,  0.59,  0.97,  4.20,  3.98,  5.04, 11.38, 55.67, 61.16, 23.41, 35.17,1,1,100,68 
SPOT_30856C,21-Jan-2025 13:30:00, -23.47990, 152.07803, 27.70,  0.73,  0.62,  1.05,  4.21,  4.12,  5.26, 10.24, 58.47, 59.96, 17.35, 33.96,1,1,100,68 
SPOT_30856C,21-Jan-2025 14:00:00, -23.47983, 152.07808, 27.86,  0.67,  0.59,  1.10,  4.15,  4.07,  5.11, 10.24, 57.14, 60.86, 19.04, 37.75,1,1,100,68 
SPOT_30856C,21-Jan-2025 14:30:00, -23.47977, 152.07832, 28.06,  0.70,  0.63,  1.16,  4.34,  4.14,  5.11,  9.31, 58.23, 59.97, 21.47, 33.29,1,1,100,68 
SPOT_30856C,21-Jan-2025 15:00:00, -23.47972, 152.07838, 27.99,  0.72,  0.64,  1.16,  4.40,  4.26,  5.18, 10.24, 59.72, 61.68, 20.65, 32.33,1,1,100,68 
SPOT_30856C,21-Jan-2025 15:30:00, -23.47972, 152.07840, 27.79,  0.72,  0.65,  1.21,  4.45,  4.19,  5.04, 10.24, 57.31, 60.74, 22.30, 31.32,1,1,100,68 
SPOT_30856C,21-Jan-2025 16:00:00, -23.47971, 152.07840, 27.78,  0.72,  0.63,  1.18,  4.42,  4.20,  5.14, 10.24, 56.98, 62.12, 21.70, 32.44,1,1,100,68 
SPOT_30856C,21-Jan-2025 16:30:00, -23.47967, 152.07838, 27.85,  0.70,  0.63,  1.04,  4.57,  4.11,  5.02,  9.31, 58.33, 60.37, 19.98, 32.61,1,1,100,68 
SPOT_30856C,21-Jan-2025 17:00:00, -23.47971, 152.07837, 28.05,  0.66,  0.59,  1.22,  4.26,  3.91,  4.90, 10.24, 54.37, 60.21, 24.12, 34.93,1,1,100,68 
SPOT_30856C,21-Jan-2025 17:30:00, -23.47973, 152.07841, 27.68,  0.63,  0.56,  0.96,  3.83,  3.59,  4.38, 10.24, 55.79, 58.80, 24.68, 43.62,1,1,100,68 
SPOT_30856C,21-Jan-2025 18:00:00, -23.47979, 152.07840, 27.74,  0.61,  0.52,  0.87,  3.66,  3.44,  4.18, 10.24, 55.69, 58.98, 27.93, 43.12,1,1,100,68 
SPOT_30856C,21-Jan-2025 18:30:00, -23.47978, 152.07824, 27.75,  0.59,  0.52,  0.82,  3.51,  3.28,  4.08,  9.31, 61.87, 59.74, 24.58, 40.92,1,1,100,68 
SPOT_30856C,21-Jan-2025 19:00:00, -23.48000, 152.07787, 27.74,  0.60,  0.51,  1.06,  3.47,  3.24,  4.05, 10.24, 60.59, 60.36, 26.74, 40.17,1,1,100,68 
SPOT_30856C,21-Jan-2025 19:30:00, -23.48007, 152.07777, 27.64,  0.62,  0.51,  0.95,  3.35,  3.26,  4.09, 10.24, 56.05, 56.14, 24.92, 42.30,1,1,100,68 
SPOT_30856C,21-Jan-2025 20:00:00, -23.48009, 152.07773, 27.56,  0.62,  0.54,  0.88,  3.43,  3.28,  4.11, 10.24, 54.08, 54.45, 26.18, 45.67,1,1,100,68 
SPOT_30856C,21-Jan-2025 20:30:00, -23.48012, 152.07770, 27.57,  0.67,  0.56,  1.06,  3.33,  3.25,  3.94, 10.24, 57.45, 45.95, 31.24, 49.20,1,1,100,68 
SPOT_30856C,21-Jan-2025 21:00:00, -23.48008, 152.07768, 27.57,  0.66,  0.61,  1.27,  3.21,  3.04,  3.55, 10.24, 53.22, 37.80, 33.39, 48.73,1,1,100,68 
SPOT_30856C,21-Jan-2025 21:30:00, -23.48002, 152.07765, 27.51,  0.73,  0.64,  0.97,  3.28,  3.16,  3.66,  3.01, 16.81, 35.40, 35.42, 48.24,1,1,100,68 
SPOT_30856C,21-Jan-2025 22:00:00, -23.47996, 152.07759, 27.40,  0.75,  0.65,  1.09,  3.35,  3.26,  3.84, 10.24, 56.30, 37.07, 30.21, 46.28,1,1,100,68 
